iter	Passed	Remaining
746	886	300
747	887	299
748	888	297
749	889	296
750	890	295
751	891	293
752	892	292
753	893	291
754	893	290
755	894	288
756	895	287
757	896	286
758	897	284
759	897	283
760	898	282
761	899	281
762	901	279
763	902	278
764	903	277
765	903	276
766	904	274
767	905	273
768	906	272
769	906	270
770	907	269
771	908	268
772	909	267
773	910	265
774	911	264
775	912	263
776	915	262
777	916	261
778	917	260
779	918	259
780	919	257
781	920	256
782	921	255
783	922	254
784	923	252
785	924	251
786	925	250
787	926	249
788	929	248
789	930	247
790	931	246
791	932	244
792	933	243
793	934	242
794	935	241
795	936	239
796	936	238
797	937	237
798	938	236
799	939	234
800	940	233
801	941	232
802	943	231
803	944	230
804	945	228
805	945	227
806	946	226
807	947	225
808	948	223
809	949	222
810	951	221
811	951	220
812	952	219
813	953	217
814	954	216
815	956	215
816	957	214
817	958	213
818	959	212
819	960	210
820	961	209
821	962	208
822	963	207
823	963	205
824	964	204
825	965	203
826	966	202
827	967	200
828	967	199
829	969	198
830	970	197
831	971	196
832	972	194
833	972	193
834	973	192
835	974	191
836	975	189
837	976	188
838	976	187
839	977	186
840	978	185
841	979	183
842	980	182
843	981	181
844	984	180
845	985	179
846	986	178
847	987	177
848	988	175
849	989	174
850	990	173
851	990	172
852	991	170
853	992	169
854	993	168
855	994	167
856	995	166
857	996	164
858	997	163
859	998	162
860	999	161
861	1000	160
862	1001	158
863	1001	157
864	1002	156
865	1003	155
866	1004	154
867	1005	152
868	1006	151
869	1006	150
870	1007	149
871	1008	148
872	1009	146
873	1011	145
874	1013	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1017	138
880	1018	137
881	1018	136
882	1019	135
883	1020	133
884	1021	132
885	1021	131
886	1022	130
887	1023	129
888	1024	127
889	1025	126
890	1026	125
891	1027	124
892	1028	123
893	1029	122
894	1029	120
895	1030	119
896	1031	118
897	1032	117
898	1032	116
899	1033	114
900	1034	113
901	1035	112
902	1036	111
903	1039	110
904	1042	109
905	1043	108
906	1043	107
907	1044	105
908	1045	104
909	1046	103
910	1047	102
911	1048	101
912	1048	99
913	1049	98
914	1053	97
915	1054	96
916	1055	95
917	1056	94
918	1057	93
919	1058	92
920	1059	90
921	1060	89
922	1060	88
923	1061	87
924	1062	86
925	1063	84
926	1064	83
927	1065	82
928	1067	81
929	1068	80
930	1069	79
931	1070	78
932	1070	76
933	1071	75
934	1072	74
935	1073	73
936	1074	72
937	1074	71
938	1075	69
939	1076	68
940	1077	67
941	1078	66
942	1080	65
943	1081	64
944	1082	62
945	1083	61
946	1083	60
947	1084	59
948	1085	58
949	1086	57
950	1086	56
951	1087	54
952	1088	53
953	1089	52
954	1090	51
955	1091	50
956	1092	49
957	1094	47
958	1094	46
959	1095	45
960	1096	44
961	1097	43
962	1098	42
